UMAP1,UMAP2
0.19991615,5.6202426
-4.659243,11.928306
0.34452316,16.047178
-4.6629357,11.917882
-2.0438015,9.956807
4.2850227,4.7302585
2.1536467,15.787601
-0.47093824,-5.6864123
-5.741639,14.399497
5.6787205,6.483895
-9.6171,1.7276676
-7.549238,10.165822
-4.9533095,1.4571712
-2.352909,-5.8534703
8.158598,2.3876674
-1.0456114,-5.4061255
-7.6635327,10.305022
-1.3548424,12.344731
-1.3623399,-5.3632574
-5.9861326,3.347645
-0.33574003,-5.497894
-6.2168384,3.9621744
7.1244965,2.3838456
-9.69492,1.7079298
-4.4320674,11.158735
-2.143318,11.72443
8.45644,2.2312465
-1.9627153,8.531682
6.443584,2.5805979
3.920662,7.616475
19.635803,7.064104
-1.5125889,4.7952595
7.750728,8.10948
-6.02054,3.3102005
-1.9808043,8.47009
6.4791417,6.386515
3.7548904,4.846425
8.635346,2.0539868
6.304728,1.4856678
-1.765325,10.289652
6.5182962,2.5680945
2.0184343,14.717917
0.72658277,9.183736
-7.6669273,10.261579
-2.1858552,11.496923
-8.27231,12.26169
6.6744003,6.3046303
6.0013666,6.478742
0.31828877,4.982676
2.0340927,15.148425
-0.18172568,-5.4227924
-5.764898,14.806008
0.85236007,-10.184107
-5.7424984,14.595667
5.4214787,-2.9544609
-6.2220364,4.09434
3.7598095,4.847755
7.7801237,7.423657
-1.9266269,-5.3301477
10.223477,15.2617855
-11.252082,9.219135
11.461175,-5.732906
4.1257424,18.717716
0.4667407,9.327639
6.5250807,6.3760915
2.7174356,16.225172
-1.3640107,12.336171
-0.7488123,-5.4539914
-11.401236,9.852363
-7.666871,10.2939415
9.929411,14.974303
-1.7711327,10.253009
-5.565688,16.650635
-4.4432225,11.580114
4.396487,18.469646
3.8178842,4.7776356
7.67977,2.338357
-1.8017523,11.184082
-0.09345086,-5.398808
8.213212,2.4051983
0.17710105,5.6658278
-0.8554144,20.564894
15.192429,2.970537
8.349108,2.2931712
-1.849379,-5.604128
-0.16521053,-5.4491262
0.15678346,6.9032235
0.16014154,6.8786054
-4.48807,11.019776
-1.9605598,8.539048
-7.71059,12.536051
-4.5993967,11.868503
0.9195006,11.585135
-4.545332,10.851857
-3.8059793,10.189205
-7.702833,10.36147
8.344491,2.274794
-5.7979555,15.358128
-0.4501311,-5.6786647
-5.823548,15.228705
-15.536054,0.14855681
-8.873404,2.2058518
-0.9166706,10.707495
-8.310222,12.2216015
-0.9985467,5.793459
11.300538,-5.8902307
13.714649,2.9996655
6.287994,6.4080358
-4.3545012,10.570332
-4.3085055,10.587952
1.2380543,9.109981
3.4993033,16.51707
-1.8261758,-5.600312
-2.5738056,-5.433023
-0.76622623,20.028402
-9.727115,1.732804
-14.847371,8.22079
-0.87312156,10.707773
-4.533755,10.799354
-12.427784,4.878049
-5.701206,15.400853
-0.39102474,6.6405168
-2.2766483,8.166493
8.43495,2.756939
0.35679212,9.447201
2.6754296,20.425457
10.989271,-6.178656
5.431642,-2.9616716
-1.3663514,12.337138
3.7493508,4.85912
-4.1901736,11.692396
0.5388286,-5.797324
-2.6292279,-5.526492
0.897502,7.824986
-2.5924764,-5.6806746
-6.4802055,3.5842032
-5.8004246,15.018607
7.894907,8.287256
11.1388445,-6.047868
5.04225,18.119482
0.267288,-5.6564107
3.9730964,16.117104
-4.4245443,11.653763
-5.519267,16.687645
-1.6294197,-5.540505
6.4618254,2.548318
-5.872215,3.3751607
11.367124,-5.829203
0.19558313,6.1638007
0.79779404,7.725001
3.7522075,7.0628366
-1.3501015,-5.340263
-0.202714,6.6428666
-11.266824,9.174381
12.835138,2.3430867
7.776488,7.5156946
-2.0527709,9.936662
2.8163457,16.325937
-6.309219,-6.7587175
6.31888,1.518574
-0.9770161,4.933712
-2.5816438,11.84799
11.461633,-5.732671
0.8350923,7.765024
0.95208955,8.2606945
-0.37434968,-5.759122
-7.558813,10.181988
0.6698987,11.381649
-2.313829,-5.81893
-4.3594956,10.886407
0.9408873,11.604765
-0.8619194,10.7020445
8.040347,2.352386
0.21244062,5.573914
7.7180896,8.139754
0.5296815,4.6844225
-1.5710988,10.66388
-6.2549143,4.1256824
4.9547243,18.2961
13.757715,3.324735
7.49259,2.3404884
6.46056,2.5635805
2.2452753,15.562742
-15.565086,0.18354826
-15.309201,-0.10471611
8.206121,2.3338609
6.6763577,6.301763
-3.1123192,8.198665
6.6308966,6.323598
8.594639,2.0887396
0.058006875,5.5901628
-1.8005271,-5.410197
0.112626776,5.6455007
5.4073257,-2.9560363
0.83599544,11.517573
0.1850304,6.4566865
0.82934725,8.862135
-6.1490498,16.328058
1.1958036,9.095147
5.4215302,-2.9569514
-4.4447126,11.07286
19.630085,7.069906
-1.9604816,7.754627
11.47261,-5.722464
1.98947,14.926244
0.1744877,5.580412
7.667229,2.317727
-1.3717704,12.334159
-2.5746527,-5.435372
-1.664433,-5.340059
13.892763,2.7263002
6.031601,6.4482207
-2.0278845,9.915129
-1.9653056,-5.335616
-6.0370984,-6.484084
-2.0787256,11.4011135
-4.0990443,10.412705
-4.9588203,1.4585323
-0.3893535,-5.7186317
-0.9772283,10.728617
-0.3639783,6.6825376
5.419741,-2.9597297
1.0629054,8.367768
-0.75143445,-5.456896
10.29428,15.330751
-11.21187,9.2317095
-1.3257618,10.884785
-7.560716,10.188503
-2.019708,11.347862
-2.0552146,8.297982
0.29806197,-5.663758
-0.29585323,6.5844254
7.8051224,8.244335
-1.6635882,-5.400294
3.8515584,7.554883
5.1340704,17.544544
-0.35818657,6.489258
-2.1558053,11.477505
-2.4641438,-5.3246684
7.7848344,7.4443326
-11.667997,0.002420841
0.52476746,9.274458
-8.008194,12.520206
-0.3587949,6.501734
-3.6652803,10.122667
-8.146465,12.396194
4.2649703,18.524084
-4.583078,11.8430805
7.80109,2.2861173
-4.527199,10.733744
-1.8766184,11.235209
-5.998901,-6.434989
-2.0185192,9.957806
8.148731,2.3463836
-7.6309857,10.287583
-1.9412895,12.08285
-1.7904791,11.173837
-0.13294071,6.6311636
-8.41483,8.398627
6.940921,2.407248
7.8038588,7.439493
-3.1578395,8.229958
0.8060688,11.499798
-2.0727792,6.8396797
6.0214367,6.439257
7.9500575,2.384698
-5.8678865,16.439747
-3.7763999,10.162818
1.9942211,14.838784
-5.68994,15.401286
7.1383944,12.448125
-4.5001035,10.996359
0.7338416,8.9083395
3.7978497,23.694952
-2.647919,11.906055
-3.0427501,10.066973
1.1146575,9.099391
11.232288,-5.9646215
-1.5434731,12.190278
10.980988,-6.185028
-1.790368,-5.524406
-5.871005,16.425922
-5.88644,3.3961668
-0.7591069,-5.4557667
8.704336,1.9950646
-0.20737839,-5.647108
-2.399685,-5.8515763
-2.5571826,-5.571942
-6.513428,3.622254
7.668888,8.083565
2.8144212,16.420061
-0.0442457,-5.417761
-11.444363,8.752064
-1.7086556,10.324978
12.716519,7.1763167
-2.420549,11.670217
11.252555,-5.9146757
10.981343,-6.185035
8.444145,2.772283
-0.28897086,-5.4446816
6.723915,6.2481384
-2.6003122,-5.6695104
-1.3910754,10.689381
-4.2995615,10.495294
-1.5761527,12.072132
4.999988,18.259386
3.76217,7.084598
4.033973,0.2695887
0.4665158,4.7649665
